income,savings,credit_usage,loan_balance,monthly_spending,investment_portfolio,risk_appetite,age,employment_status,education_level,credit_score,debt_to_income_ratio,monthly_essentials,monthly_discretionary,long_term_goals
8884,26874,7720,46996,5330,14005,high,56,retired,PhD,494,6.16,3267,657,buy house
5283,22954,4991,39052,2669,15549,high,51,self-employed,master's,667,8.34,520,314,invest more
9465,20902,4456,54718,4372,9098,low,61,self-employed,PhD,742,6.25,1573,256,buy house
6076,33058,4480,44196,3088,19069,high,49,self-employed,master's,388,8.01,1261,793,retirement
9242,48528,7751,38656,3583,14909,medium,53,full-time,PhD,584,5.02,961,245,invest more
2150,12688,2103,24447,1441,18723,medium,33,full-time,bachelor's,691,12.34,909,365,retirement
5992,36944,4823,3960,3308,9345,medium,61,self-employed,master's,723,1.47,859,579,travel
3342,17400,5784,3661,2164,18836,high,33,self-employed,master's,493,2.83,801,347,retirement
6670,24825,7082,36607,3685,2312,medium,59,full-time,master's,520,6.55,1676,239,travel
6619,46603,3532,13797,3708,19590,high,51,retired,master's,497,2.62,1355,776,buy house
6029,45554,3540,36113,2829,1876,low,44,full-time,PhD,817,6.58,1938,618,travel
6820,49409,9358,50534,4597,5079,medium,63,self-employed,master's,627,8.78,1456,907,invest more
6711,37969,6638,36688,2046,2916,low,48,retired,master's,351,6.46,830,508,buy house
7551,33939,6354,3763,4903,12076,medium,58,self-employed,master's,305,1.34,2942,340,travel
9886,27664,8241,32255,3368,15286,medium,42,retired,master's,393,4.1,2305,814,travel
8274,16488,2640,8039,5432,13823,low,58,self-employed,PhD,610,1.29,853,1331,buy house
9989,48858,4763,37785,6582,12700,high,63,full-time,PhD,787,4.26,3990,535,retirement
2246,15200,9799,16203,1320,15014,medium,32,full-time,master's,582,11.57,661,213,retirement
6376,33813,4422,53480,3050,1934,high,59,self-employed,PhD,507,9.08,922,396,travel
5639,37632,7714,44591,2436,17944,high,45,self-employed,PhD,418,9.27,1687,719,buy house
8052,32645,5512,43219,3825,19624,high,53,self-employed,master's,799,6.05,2236,983,invest more
7821,41685,8761,36571,4720,9122,low,40,self-employed,PhD,332,5.8,3007,434,retirement
8324,41221,5696,45287,5234,5298,low,61,full-time,master's,670,6.12,2854,1190,travel
8567,44540,9676,8531,5005,1801,high,68,retired,master's,742,2.12,1688,737,buy house
9463,14877,8902,37342,4000,1692,low,45,full-time,PhD,753,4.89,596,743,invest more
4119,5815,224,20219,1942,8706,high,26,self-employed,master's,401,4.96,987,354,buy house
124,4083,7005,6840,76,1628,high,19,part-time,high school,460,110.76,500,200,invest more
1725,2705,56,11606,618,7295,low,19,part-time,in school,801,6.76,500,200,travel
8356,48337,4384,35574,4304,5086,medium,54,self-employed,master's,337,4.78,784,396,travel
2071,12593,7303,6529,661,6815,low,24,self-employed,bachelor's,717,6.68,500,200,travel
8235,26225,8978,32543,4290,16578,medium,59,self-employed,PhD,476,5.04,930,214,travel
9111,17304,6946,30391,2811,13983,medium,64,full-time,PhD,570,4.1,897,649,invest more
8511,49677,7632,22118,5024,3224,high,47,self-employed,master's,794,3.5,847,1053,invest more
9594,16379,3677,55847,5146,7577,medium,69,full-time,PhD,667,6.2,3424,680,travel
8388,24183,8490,47596,5629,15314,medium,52,retired,PhD,557,6.69,3426,1578,buy house
3838,9151,814,21525,1719,17479,high,22,full-time,master's,418,5.82,739,208,travel
9964,11608,5385,36841,3468,11090,medium,39,retired,PhD,319,4.24,2000,632,retirement
3509,11906,9247,27018,1854,13652,medium,29,self-employed,master's,712,10.33,1027,281,retirement
9822,48456,2905,4914,4224,8815,medium,42,self-employed,master's,671,0.8,2321,795,buy house
1421,4332,3728,857,445,12084,medium,20,unemployed,high school,371,3.22,500,200,travel
9068,41056,9078,1258,2754,9552,medium,48,retired,master's,831,1.14,1446,362,invest more
5481,28866,1763,29791,2735,11561,medium,61,self-employed,PhD,376,5.76,1654,738,retirement
3251,18982,7300,21204,2225,16975,high,25,full-time,master's,564,8.77,1311,365,invest more
5823,21262,8012,25967,2479,16762,low,54,full-time,master's,646,5.83,1010,598,travel
6614,34299,8644,53247,3735,4435,high,69,self-employed,master's,443,9.36,1562,646,invest more
7932,42068,5513,21554,5247,9185,medium,53,retired,PhD,586,3.41,1876,1572,travel
4477,19318,2268,20891,2385,19969,low,34,full-time,master's,639,5.17,1116,241,buy house
8430,49517,2543,47348,4906,2115,medium,53,self-employed,master's,327,5.92,2166,1315,retirement
295,4170,5287,17595,129,13621,medium,20,part-time,high school,775,77.3,500,200,travel
4750,7718,9164,9767,2164,5825,high,31,full-time,master's,630,3.98,877,615,buy house
5314,26268,5558,32448,2138,17148,high,48,self-employed,PhD,334,7.15,920,533,retirement
5515,46701,1931,55485,3304,4788,medium,61,retired,master's,503,10.41,1105,752,invest more
4119,14098,526,20712,1671,2647,medium,30,self-employed,bachelor's,554,5.15,1011,319,invest more
1215,3313,3042,14783,566,16762,high,21,unemployed,in school,696,14.66,500,200,invest more
4932,18347,4793,11691,3434,16432,high,27,full-time,master's,610,3.34,1786,243,retirement
8057,33502,6702,763,4249,18703,high,65,full-time,master's,716,0.93,1350,385,retirement
4005,18091,7644,2929,2004,3593,medium,26,self-employed,master's,694,2.64,1006,230,retirement
7307,37216,4908,59408,2384,18204,low,65,full-time,PhD,620,8.8,1583,397,invest more
7127,10453,1306,43356,2631,16964,high,48,full-time,master's,799,6.27,1141,521,buy house
8093,14226,3303,47093,3413,19146,medium,68,self-employed,PhD,831,6.23,1260,955,travel
6913,40744,6327,30746,2509,4297,low,41,self-employed,PhD,333,5.36,1280,391,travel
5335,48682,8039,29555,3362,19711,medium,48,retired,PhD,322,7.05,1137,974,invest more
9066,34783,7469,5975,6100,3138,high,43,self-employed,master's,472,1.48,1346,427,retirement
5620,39431,1179,23994,2172,3682,low,46,full-time,PhD,518,4.48,1388,349,invest more
5087,23641,3538,48490,3116,3613,low,57,full-time,master's,648,10.23,625,772,invest more
8389,10392,2797,334,4366,12624,low,38,full-time,PhD,365,0.37,2338,784,retirement
9989,37505,9786,49859,4324,1877,low,54,retired,master's,501,5.97,2591,1239,buy house
4209,19219,5448,17104,1552,1268,high,26,full-time,bachelor's,719,5.36,502,218,invest more
5023,40538,764,26315,3121,3905,low,50,retired,master's,773,5.39,1406,201,retirement
7048,48484,9523,7232,4795,1205,low,65,full-time,master's,500,2.38,1337,311,invest more
1770,4454,7622,4192,864,10753,low,19,unemployed,in school,564,6.67,594,238,retirement
437,2967,1599,20806,238,12670,low,21,unemployed,in school,847,51.15,500,200,invest more
5562,36202,4111,890,3758,14467,medium,50,retired,master's,601,0.9,2437,392,buy house
3353,8989,1355,14690,1333,1809,medium,33,self-employed,master's,364,4.78,764,345,travel
4453,12278,8512,30868,1641,4183,low,32,full-time,master's,740,8.84,985,301,invest more
6266,19923,2696,45439,2619,5710,low,68,retired,PhD,570,7.68,982,697,buy house
9712,10282,276,34132,4114,17585,medium,63,full-time,PhD,419,3.54,516,824,buy house
4583,8933,4949,515,2148,19958,low,25,full-time,master's,821,1.19,840,520,retirement
5291,41622,9054,18879,2048,13811,medium,58,full-time,master's,743,5.28,888,339,buy house
6113,21527,6240,36379,2213,2389,low,38,retired,PhD,433,6.97,982,400,invest more
2758,18775,8497,25345,1657,5561,medium,26,self-employed,master's,421,12.27,598,419,travel
6314,39828,8187,2655,2541,3041,medium,57,self-employed,master's,662,1.72,1269,570,invest more
6229,44918,2000,44989,2359,4326,low,48,retired,PhD,486,7.54,713,593,retirement
7170,15997,5240,27433,2673,9717,high,58,full-time,master's,815,4.56,1663,317,travel
5172,32847,7896,12726,1804,4478,high,45,self-employed,master's,352,3.99,1035,514,buy house
6372,49029,9165,64303,4347,17883,medium,69,self-employed,master's,502,11.53,2130,305,buy house
8209,43056,1513,28543,2839,15794,low,43,retired,PhD,764,3.66,1041,555,retirement
9206,30588,5583,23374,3742,8952,medium,63,self-employed,PhD,791,3.15,742,989,invest more
3799,14345,8767,14381,1384,13542,high,32,self-employed,master's,708,6.09,894,210,invest more
4814,6864,5358,15848,2404,4940,medium,25,full-time,master's,497,4.4,959,433,buy house
9074,47749,9639,36673,3545,11247,low,42,full-time,PhD,677,5.1,1033,498,buy house
1034,3387,2153,14624,670,3113,medium,18,part-time,in school,553,16.21,500,201,retirement
9482,21727,3743,263,5035,11783,high,65,full-time,PhD,766,0.42,3349,355,invest more
9766,43808,7698,36146,6758,16989,low,45,full-time,PhD,615,4.49,2283,1940,travel
5776,27137,6792,45419,2115,11923,medium,60,full-time,master's,370,9.04,1229,271,buy house
5039,20054,1013,23587,2900,4768,high,44,self-employed,master's,304,4.88,1149,641,invest more
6821,48538,7265,24544,2780,2152,medium,43,retired,PhD,826,4.66,1869,484,buy house
5633,28923,5234,15655,2334,16001,high,70,retired,master's,561,3.71,1453,249,retirement
6780,45456,6863,24834,3247,16938,low,65,self-employed,PhD,347,4.67,594,345,buy house
4487,7596,9837,21909,2064,13981,high,29,self-employed,bachelor's,724,7.07,1423,233,retirement
8774,41578,6666,44873,4784,19046,low,61,retired,master's,353,5.87,671,1370,buy house
7949,22976,3165,13810,2506,15210,low,52,full-time,master's,357,2.14,1461,261,invest more
2340,19213,8291,17735,1294,3645,high,25,self-employed,master's,369,11.12,535,299,invest more
2855,13493,4776,2114,1905,5510,high,28,self-employed,master's,807,2.41,554,445,invest more
5453,43427,6408,57652,3511,16595,high,67,self-employed,master's,820,11.75,594,223,retirement
5923,45561,408,37436,2344,9853,medium,60,self-employed,master's,782,6.39,922,511,retirement
8956,33287,518,29142,3944,9489,low,59,retired,PhD,611,3.31,717,581,invest more
1919,3081,959,5516,677,5615,low,19,unemployed,high school,711,3.37,500,200,retirement
7446,25498,116,22623,4707,18793,medium,41,retired,master's,666,3.05,646,819,retirement
8138,31029,3433,38181,4361,17435,medium,51,self-employed,PhD,516,5.11,1060,906,travel
8139,23008,2246,45330,5355,3893,low,52,full-time,master's,475,5.84,2044,617,invest more
4648,7615,4506,5276,2870,15129,low,22,full-time,master's,447,2.1,1909,219,buy house
1041,1969,4917,19611,376,8169,low,20,unemployed,in school,414,23.54,500,200,travel
7076,15559,3908,32354,3856,15376,medium,39,self-employed,master's,493,5.12,2086,988,buy house
5699,13094,3002,2906,3150,6353,low,40,full-time,master's,616,1.04,1236,311,travel
9200,43061,2137,51769,2963,4291,medium,65,full-time,master's,800,5.86,938,438,buy house
7668,34426,8445,24108,3764,10750,low,37,self-employed,master's,813,4.24,2300,669,buy house
7811,21247,3176,23951,3269,2294,high,51,retired,PhD,308,3.47,1781,714,retirement
8652,26320,9464,32613,3236,18879,low,49,full-time,master's,457,4.86,2045,577,travel
4619,12576,2442,5216,3002,7026,high,24,self-employed,bachelor's,826,1.66,590,887,invest more
1614,1368,7124,16802,886,7327,high,19,unemployed,high school,458,14.81,592,265,buy house
2987,17541,7881,11330,1627,6276,medium,23,self-employed,bachelor's,596,6.43,740,217,invest more
7466,34256,4223,22815,2870,5454,high,59,self-employed,master's,770,3.62,1749,591,retirement
3388,14015,8955,3682,1837,2695,medium,31,self-employed,bachelor's,744,3.73,1180,398,invest more
8405,31042,9795,32178,3544,11832,high,41,self-employed,PhD,402,4.99,1046,503,travel
9541,49165,4964,33734,6649,19054,medium,36,full-time,master's,496,4.06,3758,696,travel
9603,46830,6179,29617,6444,18185,low,40,full-time,PhD,816,3.73,2161,957,buy house
169,4863,8328,1544,94,2105,medium,21,part-time,high school,662,58.07,500,200,buy house
9217,13122,4793,39761,3638,16596,low,64,self-employed,PhD,615,4.83,1795,499,buy house
5888,13899,1213,38370,3514,11178,low,39,self-employed,master's,540,6.72,1664,321,travel
6889,25737,6847,20932,4382,8409,high,43,full-time,PhD,487,4.03,2136,600,retirement
8282,34392,1426,46330,4638,9019,high,58,full-time,master's,543,5.77,2830,490,invest more
8300,45887,5355,50369,3507,2686,low,52,self-employed,master's,637,6.71,1163,666,invest more
9112,18050,8567,16219,5219,16660,high,41,self-employed,master's,831,2.72,2486,405,retirement
9232,23573,1412,34675,4539,1207,low,55,retired,PhD,441,3.91,914,367,retirement
8198,30518,9423,1293,5622,10029,high,58,full-time,PhD,469,1.31,1043,961,travel
6187,31927,6344,48143,3677,11666,low,62,full-time,PhD,564,8.81,1920,310,retirement
4456,6299,6515,4532,1368,6987,high,24,full-time,master's,846,2.48,655,220,invest more
3684,18104,6360,16425,1989,8355,high,23,full-time,bachelor's,507,6.18,1043,414,buy house
8550,15951,8404,3242,5293,2969,medium,37,full-time,master's,847,1.36,902,1033,travel
6636,15133,916,15244,3730,11458,high,36,self-employed,master's,740,2.43,2127,872,retirement
6077,32292,1557,53300,1867,15835,high,55,self-employed,master's,562,9.03,1023,384,invest more
4519,12957,7978,21056,1464,1153,low,34,full-time,master's,738,6.42,760,346,invest more
8418,41510,9489,2312,4936,18649,medium,39,full-time,PhD,595,1.4,2007,1247,travel
9912,45082,7191,1094,6405,13420,medium,39,retired,master's,792,0.84,2016,1599,retirement
9818,29375,4810,30189,6170,7584,high,45,full-time,master's,671,3.56,2062,1818,travel
8514,48106,4032,20917,4516,10119,medium,63,full-time,master's,427,2.93,773,1343,travel
7529,40895,5159,31968,2705,3441,high,61,retired,master's,512,4.93,772,561,buy house
5570,45688,1635,15999,3886,6092,low,39,retired,PhD,800,3.17,1731,1137,invest more
5818,36530,4948,22198,3739,6850,high,38,retired,master's,300,4.67,1437,701,retirement
1162,727,957,14942,754,16690,high,18,unemployed,in school,367,13.67,507,216,retirement
9117,49452,3093,51991,3843,3106,low,52,retired,PhD,305,6.04,1580,1037,travel
9200,27222,404,11462,2992,7994,high,51,retired,master's,335,1.29,1461,800,buy house
9737,38883,4874,49080,4068,3264,high,67,self-employed,master's,681,5.54,708,629,invest more
9072,14105,7418,30380,6023,7673,medium,38,full-time,PhD,769,4.17,4169,1000,buy house
8930,38977,1648,13954,5158,5927,high,44,retired,PhD,714,1.75,883,889,buy house
2001,14154,6707,9367,814,17482,low,26,full-time,bachelor's,845,8.03,531,231,travel
1633,1646,9546,10183,553,11763,high,21,unemployed,high school,574,12.07,500,200,travel
8038,13029,4543,44318,4510,1936,high,59,retired,PhD,366,6.08,1649,1120,buy house
9793,14342,7102,20570,5215,12349,low,59,self-employed,PhD,742,2.83,2866,877,buy house
3117,10892,4213,8152,1856,2453,medium,25,self-employed,bachelor's,810,3.97,701,521,travel
6804,27662,1059,4939,3859,14584,medium,48,self-employed,PhD,397,0.88,1221,902,travel
2205,6107,4245,9750,1315,19800,high,25,self-employed,master's,708,6.34,880,359,travel
7200,11214,1409,47369,3838,10708,low,51,self-employed,master's,595,6.77,2195,962,retirement
5828,38674,6742,5666,2092,5998,low,58,retired,PhD,388,2.13,1132,344,retirement
139,935,2716,4462,47,8553,medium,19,part-time,in school,310,51.27,500,200,retirement
8055,15359,9727,32969,3571,7195,high,47,retired,PhD,588,5.3,2444,809,retirement
5822,28555,9496,40906,2220,4781,low,45,full-time,PhD,849,8.66,608,281,invest more
8982,19675,3853,58949,5206,8447,medium,60,retired,PhD,506,6.99,1429,852,travel
5874,27177,465,30323,2129,15231,low,64,full-time,master's,609,5.24,657,211,invest more
6599,39167,2995,20616,4131,3139,medium,50,self-employed,master's,527,3.58,2561,1192,buy house
6611,34830,4753,5101,2796,16831,medium,53,full-time,PhD,618,1.49,754,776,travel
3346,9708,180,13005,1789,2193,low,35,full-time,master's,673,3.94,647,404,buy house
8040,29069,6287,11978,3417,17872,high,66,retired,PhD,487,2.27,1942,984,invest more
7248,19010,1688,24725,2477,7916,medium,46,full-time,PhD,838,3.64,666,497,travel
4816,9436,4296,23201,2014,15079,medium,27,full-time,master's,368,5.71,1125,533,travel
3068,6983,9317,25978,1102,10281,medium,28,self-employed,master's,578,11.5,596,323,invest more
6969,22757,6784,28167,4126,8881,medium,60,retired,master's,846,5.01,522,487,travel
6288,27504,7727,5849,3136,19276,high,52,full-time,master's,367,2.16,661,516,retirement
8169,38169,764,25191,4889,12212,medium,41,self-employed,master's,334,3.18,1796,786,invest more
9071,32382,1708,53274,3645,5389,low,61,full-time,master's,737,6.06,1786,239,retirement
4705,17539,6608,7836,1640,13336,medium,35,self-employed,bachelor's,363,3.07,946,483,invest more
4433,5298,3328,9427,2784,3456,high,35,full-time,bachelor's,646,2.88,1680,752,travel
4484,7825,9946,12445,2131,19116,high,26,full-time,bachelor's,748,4.99,1300,620,invest more
5682,17863,5295,36407,2490,14021,high,48,self-employed,PhD,447,7.34,895,742,travel
3120,12739,3546,9855,1645,19647,medium,25,self-employed,master's,399,4.29,1086,464,travel
4163,9875,1823,18897,2569,10944,low,35,self-employed,master's,539,4.98,1225,340,buy house
5040,24183,9141,6867,3219,18708,medium,63,full-time,master's,370,3.18,628,548,retirement
9429,38090,6940,2307,3474,4902,high,55,self-employed,master's,733,0.98,1037,361,buy house
7416,47869,4061,3613,2267,1821,high,45,retired,master's,707,1.03,1534,274,buy house
9973,32548,5080,19012,3842,14588,low,54,self-employed,master's,336,2.42,2627,720,retirement
9217,12166,5605,21746,2914,19721,medium,56,self-employed,master's,537,2.97,582,502,invest more
6703,32068,7863,42192,4315,3312,low,44,retired,master's,702,7.47,2199,254,retirement
5145,25106,7106,20748,3274,18405,high,48,self-employed,PhD,456,5.41,1864,618,invest more
5145,25707,5780,40009,3591,3860,low,47,retired,PhD,588,8.9,1898,992,travel
6037,40910,4299,25813,3837,15608,high,55,full-time,master's,565,4.99,1809,1099,buy house
9636,16300,4721,31400,4318,5389,high,70,retired,master's,618,3.75,1543,416,buy house
4962,9814,6925,21701,2867,5708,high,29,full-time,master's,828,5.77,1388,408,invest more
7266,15108,6757,3770,3137,8395,medium,36,full-time,PhD,713,1.45,1088,388,travel
5634,38475,5634,21181,2016,17272,low,44,self-employed,master's,836,4.76,912,474,retirement
8881,40631,1702,34947,5489,16987,medium,70,full-time,master's,602,4.13,1562,1542,retirement
7731,49287,2022,22710,3756,1900,high,47,retired,master's,582,3.2,1410,922,travel
9573,19094,3739,13905,4606,11014,high,56,self-employed,PhD,786,1.84,1766,605,invest more
8790,26648,9350,10351,6149,5952,high,53,self-employed,master's,398,2.24,1007,977,travel
4453,13765,7572,20103,2415,6282,high,25,full-time,bachelor's,792,6.21,658,344,invest more
4465,10018,8786,14039,2611,8011,medium,27,full-time,bachelor's,438,5.11,1239,681,travel
6507,22564,7990,8314,2809,7977,low,49,full-time,master's,347,2.51,1350,608,invest more
6608,47071,1857,46889,3196,8496,medium,60,self-employed,master's,383,7.38,2058,553,buy house
4235,8883,242,9705,1860,17518,low,25,full-time,bachelor's,499,2.35,537,318,travel
8206,44456,6323,18016,2918,10988,medium,38,self-employed,PhD,737,2.97,831,260,buy house
979,2651,6389,7604,628,5779,high,18,unemployed,in school,462,14.28,500,200,travel
8240,34870,800,21183,5641,15394,medium,65,self-employed,master's,384,2.67,1289,1227,retirement
8084,45609,9843,37887,5231,10533,low,38,full-time,master's,570,5.9,2614,1422,retirement
7530,15335,502,34848,3028,5017,medium,52,retired,PhD,487,4.69,1200,332,travel
4434,11310,525,18917,2267,5754,high,22,self-employed,master's,374,4.38,1456,386,invest more
6398,42034,701,28426,4068,17683,low,65,full-time,PhD,617,4.55,1183,583,buy house
4143,18040,747,24399,2454,10295,medium,28,full-time,bachelor's,751,6.07,602,618,retirement
7154,42808,9075,36374,3366,5917,high,66,full-time,master's,556,6.35,1611,293,retirement
3824,17448,8107,1572,1487,10492,low,27,self-employed,master's,798,2.53,825,284,travel
7286,39401,4914,36834,2884,4485,low,42,full-time,master's,441,5.73,1011,724,travel
7794,49614,6352,44857,4831,1454,medium,47,self-employed,PhD,368,6.57,785,1286,travel
5358,13555,728,38416,3218,18974,high,39,retired,master's,803,7.3,1570,580,travel
6996,39368,8899,31026,3694,17124,low,48,self-employed,master's,444,5.71,1769,391,buy house
5896,28067,2820,11546,4086,13486,medium,36,retired,PhD,578,2.44,1540,502,buy house
8595,44889,830,1272,4744,12248,medium,63,full-time,master's,795,0.24,2940,218,invest more
7518,24372,5449,26101,5010,16234,low,39,full-time,master's,563,4.2,3168,1422,buy house
8068,14889,9453,27525,4752,18826,low,37,full-time,master's,745,4.58,1829,1015,travel
5003,23350,6987,5597,2642,15965,medium,43,self-employed,PhD,573,2.51,963,374,travel
6083,38197,5492,47234,2613,6135,low,58,full-time,PhD,402,8.67,878,671,retirement
5187,36905,8155,22433,1828,3312,high,44,full-time,PhD,572,5.9,762,291,invest more
4978,14442,3967,22207,2520,8948,low,30,self-employed,bachelor's,423,5.26,805,665,buy house
5128,12416,866,10345,2377,17070,low,53,self-employed,master's,700,2.19,582,330,retirement
2121,18950,6321,23849,828,12390,medium,29,self-employed,bachelor's,645,14.22,517,236,travel
4885,17102,3431,19819,1509,14574,high,27,self-employed,bachelor's,803,4.76,995,247,retirement
5809,49099,5163,40373,1833,15383,medium,60,self-employed,PhD,785,7.84,1016,387,travel
6782,39538,8674,5542,3077,1773,medium,48,retired,master's,717,2.1,1317,827,buy house
6531,20696,7710,45172,3709,3800,high,64,self-employed,master's,534,8.1,2452,799,retirement
8265,21220,8130,6560,5204,15407,low,50,retired,PhD,706,1.78,2783,567,retirement
5139,19667,9586,61373,3163,4456,medium,64,self-employed,PhD,488,13.81,1956,560,buy house
9840,13886,4206,57096,3270,12695,low,68,self-employed,master's,818,6.23,2192,296,buy house
3866,16238,2838,1797,2474,15349,low,31,full-time,master's,609,1.2,782,599,retirement
3523,13630,1011,12749,1924,9364,high,33,self-employed,master's,576,3.9,600,425,invest more
8527,45610,8298,3990,4868,18007,high,39,self-employed,master's,613,1.44,2280,600,buy house
7402,25968,9078,19522,4208,9857,low,55,self-employed,PhD,439,3.86,2896,1220,retirement
5066,45317,9593,57330,2386,6877,high,65,retired,master's,830,13.21,888,302,invest more
2317,11852,7381,17134,1603,18823,medium,25,self-employed,master's,336,10.58,626,205,buy house
3279,13248,8537,26342,2155,7445,medium,31,self-employed,master's,528,10.63,570,229,buy house
8059,45062,2015,44921,2625,13205,medium,61,full-time,PhD,452,5.82,1482,302,buy house
5810,20879,6842,8876,2202,2282,low,70,self-employed,PhD,618,2.7,580,506,invest more
9290,45756,1731,46843,4967,12279,low,65,full-time,master's,518,5.23,802,867,travel
2663,8429,3134,17926,1541,13740,medium,30,full-time,bachelor's,601,7.91,775,262,travel
9856,46746,5231,18947,4967,4436,medium,69,retired,master's,747,2.45,1640,642,buy house
3746,8615,1787,22652,2321,8283,high,35,self-employed,master's,673,6.52,1180,459,invest more
7642,24226,6726,42763,4488,18052,low,69,full-time,master's,743,6.48,2107,1152,retirement
2084,14521,5980,4767,1226,2986,low,31,self-employed,bachelor's,534,5.15,621,209,buy house
9385,30162,7143,26720,5490,13635,low,48,self-employed,PhD,384,3.61,2186,922,buy house
1508,1555,8686,7768,809,14995,medium,21,unemployed,in school,303,10.9,535,226,invest more
7019,42557,7715,30696,3187,18179,low,51,self-employed,master's,512,5.47,673,834,retirement
6674,25635,4196,17436,4215,8229,medium,49,full-time,master's,726,3.24,2840,800,invest more
9514,39184,7060,33945,5303,3609,high,69,retired,master's,679,4.31,1551,750,travel
7894,27018,5674,12495,3515,17653,medium,63,self-employed,PhD,642,2.3,2093,353,invest more
7739,46877,9512,21730,3692,16062,medium,40,self-employed,master's,680,4.04,2415,623,invest more
6590,19735,8778,10886,3946,9627,medium,62,self-employed,master's,734,2.98,1139,965,travel
6806,40785,864,26558,2710,7472,high,56,self-employed,PhD,545,4.03,1374,804,buy house
6131,41412,2289,54230,2200,8926,medium,64,retired,master's,420,9.22,825,228,invest more
3597,8039,6230,1018,2441,15811,medium,26,full-time,bachelor's,580,2.01,1511,715,travel
7761,13442,999,43390,3849,6391,low,56,full-time,master's,359,5.72,2033,431,travel
8876,19541,2588,43823,3171,6540,medium,49,full-time,master's,414,5.23,551,833,retirement
3185,6450,9634,16396,2122,6476,low,29,self-employed,bachelor's,567,8.17,1088,322,retirement
8359,26776,4637,54917,5653,17202,medium,65,self-employed,PhD,500,7.12,1307,273,invest more
3320,6351,259,7687,1750,2484,high,31,self-employed,bachelor's,402,2.39,759,291,invest more
1120,1475,4335,13743,364,6078,medium,18,part-time,in school,418,16.13,500,200,buy house
4487,6291,9459,26243,1357,2024,low,29,full-time,master's,513,7.95,738,342,invest more
8399,45077,275,5602,3393,17781,medium,55,retired,PhD,815,0.7,2161,712,retirement
2539,18102,8895,23947,1522,4448,high,26,full-time,bachelor's,429,12.93,550,332,invest more
9831,32362,6246,49598,5709,7607,high,60,retired,master's,840,5.68,3340,1000,retirement
8872,12513,9970,27562,5270,13764,high,52,self-employed,master's,608,4.23,2428,488,retirement
3819,8844,4055,9136,1393,8421,medium,35,full-time,master's,525,3.45,574,235,retirement
3013,18745,4191,7990,1553,15569,medium,30,self-employed,master's,526,4.04,887,219,retirement
7916,47153,8341,10081,2909,16196,low,61,full-time,master's,642,2.33,715,615,invest more
1659,4612,1423,15481,604,13676,medium,18,unemployed,high school,305,10.18,500,200,retirement
8701,47340,3193,11951,3720,18930,low,37,full-time,PhD,770,1.74,595,1015,invest more
7814,33260,8394,10862,4296,13846,medium,64,retired,PhD,420,2.46,1494,354,travel
7935,39750,7252,32057,3079,17823,medium,52,retired,master's,317,4.95,511,593,travel
2130,9202,6302,10607,1343,15197,low,28,full-time,master's,734,7.93,535,363,buy house
8104,19088,6937,50892,3630,4160,low,51,self-employed,PhD,804,7.13,1935,306,travel
5054,20312,5652,29624,2500,11921,high,38,full-time,PhD,750,6.98,1259,698,invest more
7488,19942,6363,53989,2671,11446,high,58,self-employed,master's,439,8.06,1651,477,retirement
6074,21914,1877,33587,3191,2288,medium,52,full-time,master's,808,5.84,814,207,travel
1395,3742,7205,5336,887,13506,high,21,part-time,high school,637,8.98,578,225,buy house
9250,20590,8538,35458,6216,18018,high,50,retired,PhD,390,4.76,2740,1705,travel
2083,5746,3866,20179,920,14950,low,35,full-time,master's,728,11.54,569,223,travel
5799,20486,5982,4368,4015,17351,medium,54,self-employed,master's,649,1.78,2617,648,travel
4837,15476,5461,20275,3237,15521,low,34,full-time,master's,485,5.32,1046,381,travel
7371,48296,6305,29718,4178,16110,medium,38,full-time,master's,489,4.89,2880,519,invest more
6762,19431,2876,54804,4342,8096,high,69,retired,PhD,542,8.53,643,331,invest more
7020,40041,2434,50458,3232,8828,medium,67,self-employed,master's,752,7.53,1071,928,retirement
2608,12297,7060,10616,803,6505,medium,27,self-employed,bachelor's,693,6.78,539,229,travel
7672,10498,5318,5137,5075,2510,low,59,retired,master's,605,1.36,1628,1123,invest more
7521,36834,5820,17208,3904,4086,low,38,full-time,PhD,790,3.06,2141,531,invest more
3532,5342,6121,19217,1229,11877,high,26,full-time,bachelor's,624,7.17,829,268,invest more
6486,16318,452,16655,2601,13324,medium,44,retired,master's,548,2.64,646,499,travel
4462,5761,7457,15583,1795,10293,high,23,full-time,bachelor's,701,5.16,1042,360,travel
6517,29523,5526,27520,3541,6076,high,42,full-time,master's,738,5.07,1715,584,invest more
8098,30862,5109,28678,2552,15924,medium,38,full-time,master's,498,4.17,1463,677,buy house
5611,29274,7149,39768,3185,1850,high,53,full-time,PhD,674,8.36,1214,675,travel
747,1075,2686,2823,294,15427,low,20,unemployed,in school,574,7.36,500,200,invest more
6301,46171,5834,20206,2265,11556,medium,58,full-time,master's,732,4.13,504,633,buy house
5296,10986,2188,11564,1805,17902,low,36,retired,master's,368,2.6,1036,528,travel
9664,34829,6321,23483,3207,14587,low,70,self-employed,PhD,843,3.08,505,341,buy house
5658,35557,8760,19922,1875,3856,low,64,self-employed,PhD,327,5.07,951,211,retirement
8647,12883,524,44666,5504,17764,medium,61,full-time,master's,431,5.23,3655,1245,buy house
2305,10464,4333,20996,1291,9223,low,32,self-employed,master's,446,10.98,504,294,travel
